plan_number,num_districts,total_population,avg_polsby_popper,avg_schwartzberg,avg_reock,avg_convex_hull,avg_boundary_node_ratio,white_hispanic_dissimilarity,white_asian_dissimilarity,hispanic_gini,asian_gini,entropy_index,hispanic_atkinson,asian_atkinson,hispanic_isolation,asian_isolation,hispanic_interaction,asian_interaction,hispanic_delta,asian_delta,plan_score,score_array
1,6,68654,0.20641124963949012,0.44350515972981963,0.2567392345550886,0.592786176205446,0.8818322764765761,0.13857151527016376,0.1769269207316163,0.16155422393586177,0.1897019338504448,0.018940887304482016,0.010338102626539263,0.015059257681553287,0.07995859609499317,0.37049711898549337,0.9200414039050069,0.6295028810145066,0.060775969802262415,0.07811698217192778,2.228471657527125e-05,[0.9 0.9 0.2 0.7 1.  0.  0.  0.2 0.  0.  0.3 0.  0.3 0.  0.3 0.  0.3 0. ]
2,6,68654,0.18956984568086285,0.41975111583542385,0.25969472016625533,0.5886129296980475,0.8652323682962701,0.1294064558834659,0.1254683502356655,0.15315540324387092,0.1363748120968254,0.011870724756531921,0.009626430342506834,0.008610958870999098,0.07982929558396529,0.36356234627523515,0.9201707044160348,0.6364376537247648,0.06438715592359041,0.06035217493815093,0.5351519049490954,[0.8 0.8 0.3 0.7 0.9 0.2 0.7 0.3 0.9 0.8 0.3 0.9 0.3 0.9 0.3 0.9 0.3 0.6]
3,6,68654,0.152113686335515,0.3834327301111979,0.2334318276173677,0.5418626906723124,0.8612718476167212,0.07478425242654688,0.13746110232154496,0.11079992721388521,0.16314583782738484,0.011560912901851742,0.004918295751857312,0.010657516748453357,0.07722626093464327,0.3657409501429025,0.9227737390653568,0.6342590498570975,0.040211923966368635,0.06832751430284127,0.16616979466832302,[0.2 0.2 0.  0.2 0.6 1.  0.5 1.  0.5 0.9 1.  0.6 1.  0.6 1.  0.6 1.  0.4]
4,6,68654,0.13455568332627707,0.36334387760410203,0.2595706270384231,0.5669831346429215,0.8488128817800286,0.10661013213039758,0.1239574161781982,0.14226787498790702,0.16114542582715774,0.012842409397642343,0.008207817579819757,0.010677575838711826,0.07875597699837183,0.3657867590623257,0.9212440230016281,0.6342132409376744,0.05664852135946224,0.05916303814033055,0.1346143774720116,[0.1 0.1 0.3 0.6 0.  0.8 0.7 0.4 0.7 0.8 0.4 0.6 0.6 0.6 0.6 0.6 0.5 0.6]
5,6,68654,0.17419855466134182,0.4055132594923048,0.2814804551506939,0.5576162775488206,0.8793245738727746,0.11161307736503563,0.15465674767041004,0.12193996700598637,0.1654631022825837,0.013201685377161765,0.006041960957545115,0.011373918014108263,0.07770420931406458,0.3664207037324181,0.9222957906859354,0.6335792962675819,0.048370989362978026,0.07025170481225745,0.508692174817025,[0.5 0.5 0.7 0.3 1.  0.6 0.2 0.8 0.4 0.5 0.9 0.4 0.8 0.4 0.8 0.4 0.7 0.2]
6,6,68654,0.20374692053175777,0.43767038640758477,0.3540116993161546,0.6374434680860767,0.8659088350577712,0.09442402070698981,0.1858839942081686,0.1207769442390262,0.1898887494999242,0.017155352965652425,0.006080947880560366,0.015480985642923672,0.07762834636615666,0.37131891724364563,0.9223716536338433,0.6286810827563545,0.048732696653818804,0.08550906906463532,0.00011847954120901681,[0.9 0.9 1.  1.  0.9 0.9 0.  0.8 0.  0.  0.9 0.  0.8 0.  0.8 0.  0.7 0. ]
7,6,68654,0.16952548028371547,0.4039225717246539,0.27616916344578496,0.585990183841467,0.8558796008101521,0.10411743790666503,0.14072482335587758,0.11243960162597913,0.15743485402897264,0.011534472815486085,0.00544205665170986,0.010091564665440943,0.07755609896200875,0.36498965606447986,0.9224439010379912,0.63501034393552,0.04897654229890821,0.06613213625100788,0.6710993945365611,[0.5 0.5 0.6 0.7 0.3 0.8 0.4 1.  0.7 0.9 1.  0.7 1.  0.7 1.  0.7 0.7 0.5]
8,6,68654,0.15064555804381205,0.381154683493187,0.24118875701795398,0.533673367706836,0.8535246277878931,0.09630496091218615,0.14116175927400304,0.12805170489460826,0.1640244151425229,0.012608468579301617,0.00654106145322815,0.011334171647781801,0.07811761261015718,0.36625638087903867,0.9218823873898427,0.6337436191209612,0.051349316700325456,0.06622764529325126,0.39599368609321084,[0.2 0.2 0.2 0.2 0.1 0.9 0.4 0.6 0.5 0.8 0.6 0.4 0.6 0.4 0.6 0.4 0.6 0.5]
9,6,68654,0.14577914546429838,0.3787909727684922,0.23856932459603755,0.5410421007627778,0.867838030188237,0.10888529347891417,0.15868449025404435,0.12190990047896647,0.17053853952936854,0.014042601422016476,0.006686023386571257,0.012153487964176236,0.07841068690206643,0.3674546519586433,0.9215893130979336,0.6325453480413568,0.043857303814421836,0.07506884229355258,0.12287472672767305,[0.2 0.2 0.2 0.2 0.9 0.8 0.2 0.8 0.4 0.5 0.6 0.4 0.6 0.4 0.6 0.4 0.8 0. ]
10,6,68654,0.17948080542883407,0.41931731476783,0.32394346005503777,0.6276934557518842,0.8583117599503569,0.11147000685412745,0.1596576223061203,0.15062142545813023,0.17800095986030226,0.015541139911310918,0.009928372200197304,0.013128608508351158,0.07966131121354515,0.368467708436089,0.9203386887864548,0.631532291563911,0.068481288897936,0.0760114127101665,0.08630292522325797,[0.7 0.8 0.9 0.9 0.4 0.6 0.1 0.3 0.1 0.1 0.3 0.1 0.3 0.2 0.3 0.2 0.2 0. ]
