GEOID20,District
060855113024003,3
060855110002001,3
060855109002011,1
060855115012016,5
060855117072007,6
060855108013004,2
060855113021011,3
060855113013001,4
060855113012009,4
060855108032012,1
060855093022017,1
060855110002004,2
060855114002007,5
060855108011001,2
060855115011019,5
060855115011004,5
060855113021004,4
060855108021002,1
060855093022007,1
060855108011010,1
060855112004017,3
060855109003001,1
060855108012004,1
060855116091030,3
060855113023003,4
060855116081004,3
060855112002010,4
060855108012020,1
060855113013003,4
060855109001004,2
060855111002010,3
060855107003018,6
060855111004016,3
060855113023010,3
060855111004014,3
060855113011018,3
060855115012014,5
060855114004030,5
060855111004007,3
060855106001000,5
060855113021013,3
060855106003004,6
060855115011024,5
060855109003019,1
060855113021012,3
060855106003005,6
060855112003009,4
060855111003001,2
060855114004028,2
060855046011042,2
060855113013005,4
060855108022011,1
060855113011023,4
060855113013009,4
060855110003000,2
060855115012033,5
060855114002005,2
060855115013017,5
060855109003011,5
060855108014005,2
060855107001006,5
060855113012010,4
060855111002001,2
060855113012003,4
060855109002019,5
060855109002003,5
060855117051023,6
060855114004008,2
060855116091023,3
060855108022006,1
060855093041001,2
060855113021000,4
060855107003013,6
060855115011009,5
060855113022012,4
060855117072009,6
060855108032000,1
060855113011002,4
060855115012017,5
060855111001009,3
060855112001018,4
060855117072050,6
060855112003004,4
060855113012008,4
060855116091024,3
060855115012005,5
060855046011043,2
060855112001000,4
060855046011050,2
060855114004033,5
060855108021007,1
060855110005003,2
060855113022001,4
060855110002002,2
060855115013010,5
060855112004010,3
060855108032004,1
060855110004008,2
060855116091015,3
060855110002009,2
060855109003002,1
060855109003003,1
060855108011005,1
060855112002004,4
060855046011046,2
060855130006003,3
060855115011008,5
060855107003024,6
060855113022020,4
060855112001009,4
060855115013007,5
060855113021017,3
060855107002006,6
060855108013002,2
060855117072032,6
060855108012008,1
060855114003008,5
060855114004011,2
060855117051028,6
060855117011005,6
060855107003003,6
060855113011038,4
060855111002006,3
060855113022015,3
060855107003012,6
060855107001020,5
060855113011005,3
060855112001019,4
060855046011045,2
060855117051002,5
060855117011011,6
060855107003010,6
060855108032008,5
060855115012012,5
060855111001000,4
060855108012009,1
