plan_number,population_calc,recursive_tree_part,partition_creation,markov_chain,save_block_assignments,calculate_metrics,calculate_plan_score
1,0.0,0.32440996170043945,0.0,0.019912242889404297,0.014261007308959961,1.4383153915405273,0.004014492034912109
2,0.0,0.40675878524780273,0.0,0.021764278411865234,0.007378816604614258,2.139274835586548,0.0
3,0.0038194656372070312,0.39444565773010254,0.0,0.023967504501342773,0.012689590454101562,1.5164799690246582,0.0
4,0.003970146179199219,0.36491847038269043,0.0,0.017910003662109375,0.01284027099609375,1.376974105834961,0.0
5,0.0004487037658691406,0.31631040573120117,0.0,0.019337177276611328,0.005805015563964844,1.3836538791656494,0.0
6,0.0,0.39459896087646484,0.004319667816162109,0.01743340492248535,0.0030939579010009766,1.3754639625549316,0.0018765926361083984
7,0.00414276123046875,0.32752013206481934,0.0010533332824707031,0.018396377563476562,0.008118391036987305,1.4021542072296143,0.0054509639739990234
8,0.0,0.5171468257904053,0.0,0.023409366607666016,0.008900642395019531,1.376288652420044,0.0
9,0.0020215511322021484,0.2988874912261963,0.0,0.019772052764892578,0.008962392807006836,1.383601188659668,0.0
10,0.0,0.28504085540771484,0.0,0.018774986267089844,0.006816864013671875,1.6188998222351074,0.0
11,0.002602100372314453,0.4314076900482178,0.0031588077545166016,0.02396869659423828,0.00935506820678711,1.5136287212371826,0.0
12,0.002033233642578125,0.2931492328643799,0.001081228256225586,0.01658487319946289,0.004762172698974609,1.4692120552062988,0.0
13,0.0016014575958251953,0.3467378616333008,0.0,0.017703771591186523,0.01917576789855957,1.481994867324829,0.00467681884765625
14,0.0036106109619140625,0.2824070453643799,0.0010275840759277344,0.020762920379638672,0.00463557243347168,1.4632196426391602,0.0
15,0.0,0.30937695503234863,0.0,0.022784948348999023,0.0040209293365478516,1.4840824604034424,0.0
16,0.0023534297943115234,0.43754148483276367,0.0,0.017101764678955078,0.009644031524658203,1.5466256141662598,0.0020079612731933594
17,0.0,0.4120216369628906,0.0020084381103515625,0.02467966079711914,0.012927770614624023,1.4868149757385254,0.0
18,0.0019407272338867188,0.34034156799316406,0.0,0.025362730026245117,0.010284185409545898,1.3914389610290527,0.0020134449005126953
19,0.00655817985534668,0.3703749179840088,0.0009646415710449219,0.018253087997436523,0.008055925369262695,1.3609638214111328,0.0
20,0.0,0.323167085647583,0.0,0.0199429988861084,0.01785731315612793,1.458979845046997,0.001058816909790039
